PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0IC3e,1k1r4/pbqn4/2p2p2/2b1p3/P3P3/2Q3P1/1B1RB1Pr/3R3K w - - 0 29,h1h2 d8h8 e2h5 h8h5,763,84,82,69,master mate mateIn2 middlegame pillsburysMate short,https://lichess.org/GXz6y8pf#57,
0EUQb,8/8/8/6PK/3b4/7P/1pk5/1R6 w - - 1 59,g5g6 c2b1 g6g7 d4g7,917,77,98,564,crushing endgame hangingPiece master short,https://lichess.org/ElyXVE47#117,
0DQSo,8/1pp2Bp1/p3R2p/6q1/P3Qnk1/2P3P1/1P1r1P2/5K2 w - - 10 39,e6g6 d2d1 e4e1 d1e1,1055,77,97,2852,crushing endgame short,https://lichess.org/xqfYTsDe#77,
0ISMu,r2q1r2/pp1n1pkp/4p1n1/b1ppP3/3P3N/2PQ4/PP4PP/RNB2RK1 w - - 0 14,d3g3 d8h4 g3h4 g6h4,1054,84,83,97,advantage middlegame short,https://lichess.org/c3KOJS0I#27,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
09CfA,r2q1r1k/pppnn1p1/3p3p/1P1Qp3/8/P1N2N1P/5PP1/R1B1R1K1 w - - 1 17,d5b7 d7c5 b7a8 d8a8,1236,77,93,10971,advantage middlegame short trappedPiece,https://lichess.org/dbHcldC2#33,Italian_Game Italian_Game_Giuoco_Piano
0GcoL,2r1r1k1/1p3ppp/p7/3p1pq1/3n4/P1P2QPP/1P2NP2/R3K2R w KQ - 0 21,c3d4 c8c1 a1c1 g5c1,1027,76,96,3725,mate mateIn2 middlegame pin short,https://lichess.org/Sk0IRKO0#41,
0Devy,r2q2k1/1pp3p1/1b5p/p2p3Q/3Pp3/1NP1P2R/PP3r2/6RK b - - 1 24,g8h8 h5h6 g7h6 h3h6,1133,79,48,123,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/IlrksyHb/black#48,
0KBk0,r3k2r/p3qppp/2pp1n2/4p3/4P1b1/1NQ5/PPPN1PPP/2KR3R b kq - 1 12,g4d1 c3c6 e7d7 c6a8,1191,76,90,1700,crushing fork middlegame short,https://lichess.org/VDhS9PQI/black#24,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
0Ka8h,8/4bQ2/3pN3/3Pp3/4P3/4K3/8/5k1q b - - 3 52,f1e1 f7f2 e1d1 f2d2,1054,79,94,247,endgame mate mateIn2 short,https://lichess.org/dRrTtiVm/black#104,
0Bc3T,r2q1rk1/p3ppbp/6p1/nP2Nb2/3P1N2/2Q5/PP3PPP/2KR1B1R b - - 2 15,g7e5 d4e5 a8c8 d1d8,1115,79,94,976,advantage discoveredAttack master opening short,https://lichess.org/9niEwk4W/black#30,Grunfeld_Defense Grunfeld_Defense_Stockholm_Variation
03tRW,r2q1rk1/pppnbp2/3p1n1B/3Pp3/4P1pP/2N2B2/PPPQ1PP1/R4RK1 b - - 0 12,g4f3 d2g5 g8h7 g5g7,1176,76,80,138,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/oY3jgdTV/black#24,Philidor_Defense Philidor_Defense_Other_variations
0FuFJ,4k3/1pN2rpp/p1n5/8/2Q5/4q3/PP4PP/3R3K b - - 0 24,f7c7 c4g8 e8e7 g8g7,1197,76,95,10205,crushing endgame interference short,https://lichess.org/z3fMvsfg/black#48,
0NQ0c,8/8/5qpk/p4p1p/2pRbb1P/2P5/P3Q1P1/4B2K w - - 4 46,e1d2 f6h4 h1g1 h4h2,1102,76,96,1754,crushing endgame short,https://lichess.org/eNwg0lHV#91,
03jKe,8/1b3pk1/1P2p3/4P2p/1RpP1n2/2P5/5K1P/8 w - - 0 36,f2e3 f4d5 e3d2 d5b4,1005,77,100,76,crushing endgame fork short,https://lichess.org/CnTpf6Jx#71,
0BBoq,3r1rk1/p4pp1/2b5/8/2NB2q1/3p3R/P4PPP/Q4BK1 w - - 3 27,h3g3 g4d4 a1d4 d8d4,1079,89,93,2045,advantage middlegame short,https://lichess.org/ajpUs84S#53,
0P661,8/8/4p3/2RpP1k1/1P4P1/4NK2/2p1nP2/3b4 b - - 0 54,c2c1q c5c1 e2c1 e3d1,1169,76,94,1190,advantage capturingDefender endgame short,https://lichess.org/wKXAF1PX/black#108,
0NHZg,r1b1qr2/ppQ2k2/2p1pn2/5pR1/6p1/1P1R4/P2PPPB1/4K1N1 b - - 1 19,e8e7 g5g7 f7g7 c7e7,1131,77,100,330,advantage attraction deflection middlegame short,https://lichess.org/HET7fHGC/black#38,
05y4s,8/p1pR3p/1p3kp1/4qp2/8/1B2P2P/P4PK1/8 b - - 3 35,h7h5 d7f7 f6g5 f2f4 e5f4 e3f4,1085,94,93,153,crushing endgame fork long,https://lichess.org/9N5TGfIU/black#70,
0OH83,8/2p5/p7/Pp1p1k2/1PnP4/2P1B3/5P1K/8 w - - 0 38,h2g3 c4e3 f2e3 f5e4 g3f2 e4d3,1081,76,98,780,crushing endgame long,https://lichess.org/w9Nk8mc9#75,
0F4QK,2rr2k1/R3npp1/1p2pq1p/4N3/3PQ3/8/1P3PPP/3R2K1 b - - 0 21,e7c6 e5c6,1234,90,64,72,crushing middlegame oneMove,https://lichess.org/jJPqND3t/black#42,
01hdS,2r2b1r/pp3ppp/8/3Npk2/8/8/PPP2PPP/R3K2R b KQ - 2 15,c8c2 d5e3 f5e6 e3c2,1038,84,100,75,advantage endgame fork short,https://lichess.org/D7ZmENTi/black#30,Three_Knights_Opening Three_Knights_Opening_Other_variations
03AVu,3rr1n1/3q3k/2p4p/1p3p1Q/p7/2BP2KP/P1P5/R4R2 b - - 1 29,g8e7 h5f7,1046,90,93,238,mate mateIn1 middlegame oneMove,https://lichess.org/3Su6ev3f/black#58,
04fYL,r4k2/p1p2p1B/bp2p3/7p/4Nbnq/5P2/P1Q2P1P/R2R2K1 w - - 3 22,e4g3 h4h2,1164,84,79,179,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Pas3ujMs#43,
0IfJE,6k1/5p2/1b5Q/1p6/p5P1/2P4P/r7/4R1K1 w - - 2 37,g1f1 a2f2 f1g1 f2f6 h6e3 b6e3,1222,79,92,2653,crushing discoveredAttack discoveredCheck endgame exposedKing long,https://lichess.org/Scd69pyY#73,
02ddk,8/p4p1k/1p2pBr1/4P1p1/5nQp/1P3P2/P3qP1P/2R3K1 b - - 5 32,f4d3 g4h5 g6h6 h5f7,1047,76,100,169,endgame mate mateIn2 short,https://lichess.org/MHvWH2tY/black#64,
01KyF,5rk1/6bp/1p2p1p1/1Pp5/2P4q/4NQ1P/5PP1/1R4K1 w - - 0 32,f3c6 h4f2 g1h1 f2e3,1082,77,92,750,crushing endgame fork short,https://lichess.org/dyxvNO3Q#63,
00Nih,8/3K4/8/5k1p/7P/8/8/8 w - - 1 62,d7e7 f5g4 e7e6 g4h4,1178,232,38,18,crushing endgame pawnEndgame short,https://lichess.org/uGsqUTBh#123,
01dLk,r2qr1k1/pbp2ppp/1pn2n2/8/3PN3/5NP1/PP2QPBP/R3R1K1 b - - 2 13,c6d4 e4f6 g7f6 e2e8 d8e8 e1e8 a8e8 f3d4,1450,76,93,6756,crushing discoveredAttack kingsideAttack middlegame veryLong,https://lichess.org/57RP5sCb/black#26,Queens_Indian_Defense Queens_Indian_Defense_Capablanca_Variation
06hcF,r7/4Q1pk/4p2p/4q3/7P/1P1R2P1/2P2P2/3K4 w - - 0 45,e7d6 a8a1 d1d2 e5e1,1288,76,93,763,endgame mate mateIn2 short,https://lichess.org/OFz7a4V3#89,
0Gj2Y,3q2k1/6b1/p3bNp1/4p2p/1Prp3P/6P1/P4QBK/5R2 b - - 0 28,g7f6 f2f6 d8f6 f1f6 e6f7 f6f7,1499,79,95,21298,advantage long middlegame,https://lichess.org/FLRjEZyC/black#56,
